73254.104917329 [MEMLOG_E_S1_RUN]	diff = 0.000000000
73254.136064776 [MEMLOG_E_WCET_START]	diff = 0.031147447
73254.137020551 [MEMLOG_E_S1_DONE]	diff = 0.000955775
73254.137021280 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73254.167962791 [MEMLOG_E_WCET_START]	diff = 0.030941511
73254.168855337 [MEMLOG_E_S1_DONE]	diff = 0.000892546
73254.168855702 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73254.203951768 [MEMLOG_E_WCET_START]	diff = 0.035096066
73254.204866970 [MEMLOG_E_S1_DONE]	diff = 0.000915202
73254.204867543 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73254.236018011 [MEMLOG_E_WCET_START]	diff = 0.031150468
73254.236928890 [MEMLOG_E_S1_DONE]	diff = 0.000910879
73254.236929255 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73254.267969672 [MEMLOG_E_WCET_START]	diff = 0.031040417
73254.268864301 [MEMLOG_E_S1_DONE]	diff = 0.000894629
73254.268864822 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73254.300111643 [MEMLOG_E_WCET_START]	diff = 0.031246821
73254.301011741 [MEMLOG_E_S1_DONE]	diff = 0.000900098
73254.301012158 [MEMLOG_E_S1_RUN]	diff = 0.000000417
73254.335978694 [MEMLOG_E_WCET_START]	diff = 0.034966536
73254.336876396 [MEMLOG_E_S1_DONE]	diff = 0.000897702
73254.336876969 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73254.367974781 [MEMLOG_E_WCET_START]	diff = 0.031097812
73254.368900244 [MEMLOG_E_S1_DONE]	diff = 0.000925463
73254.368900764 [MEMLOG_E_S1_RUN]	diff = 0.000000520
73254.400067534 [MEMLOG_E_WCET_START]	diff = 0.031166770
73254.400973518 [MEMLOG_E_S1_DONE]	diff = 0.000905984
73254.400974039 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73254.435989376 [MEMLOG_E_WCET_START]	diff = 0.035015337
73254.436905672 [MEMLOG_E_S1_DONE]	diff = 0.000916296
73254.436906037 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73254.467971870 [MEMLOG_E_WCET_START]	diff = 0.031065833
73254.468892749 [MEMLOG_E_S1_DONE]	diff = 0.000920879
73254.468893114 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73254.500076758 [MEMLOG_E_WCET_START]	diff = 0.031183644
73254.500988627 [MEMLOG_E_S1_DONE]	diff = 0.000911869
73254.500989148 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73254.535966726 [MEMLOG_E_WCET_START]	diff = 0.034977578
73254.536902657 [MEMLOG_E_S1_DONE]	diff = 0.000935931
73254.536903334 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73254.568060937 [MEMLOG_E_WCET_START]	diff = 0.031157603
73254.568981764 [MEMLOG_E_S1_DONE]	diff = 0.000920827
73254.568982285 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73254.600057649 [MEMLOG_E_WCET_START]	diff = 0.031075364
73254.600964154 [MEMLOG_E_S1_DONE]	diff = 0.000906505
73254.600964779 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73254.635981627 [MEMLOG_E_WCET_START]	diff = 0.035016848
73254.636862506 [MEMLOG_E_S1_DONE]	diff = 0.000880879
73254.636862871 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73254.668044172 [MEMLOG_E_WCET_START]	diff = 0.031181301
73254.668944999 [MEMLOG_E_S1_DONE]	diff = 0.000900827
73254.668945676 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73254.700092915 [MEMLOG_E_WCET_START]	diff = 0.031147239
73254.700987544 [MEMLOG_E_S1_DONE]	diff = 0.000894629
73254.700987909 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73254.735981580 [MEMLOG_E_WCET_START]	diff = 0.034993671
73254.736902876 [MEMLOG_E_S1_DONE]	diff = 0.000921296
73254.736903397 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73254.767978709 [MEMLOG_E_WCET_START]	diff = 0.031075312
73254.768879120 [MEMLOG_E_S1_DONE]	diff = 0.000900411
73254.768879693 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73254.800054327 [MEMLOG_E_WCET_START]	diff = 0.031174634
73254.800963487 [MEMLOG_E_S1_DONE]	diff = 0.000909160
73254.800964008 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73254.835953304 [MEMLOG_E_WCET_START]	diff = 0.034989296
73254.836897881 [MEMLOG_E_S1_DONE]	diff = 0.000944577
73254.836898246 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73254.867979183 [MEMLOG_E_WCET_START]	diff = 0.031080937
73254.868872927 [MEMLOG_E_S1_DONE]	diff = 0.000893744
73254.868873240 [MEMLOG_E_S1_RUN]	diff = 0.000000313
73254.900105530 [MEMLOG_E_WCET_START]	diff = 0.031232290
73254.901019638 [MEMLOG_E_S1_DONE]	diff = 0.000914108
73254.901020211 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73254.935980393 [MEMLOG_E_WCET_START]	diff = 0.034960182
73254.936923824 [MEMLOG_E_S1_DONE]	diff = 0.000943431
73254.936924501 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73254.967979189 [MEMLOG_E_WCET_START]	diff = 0.031054688
73254.968996421 [MEMLOG_E_S1_DONE]	diff = 0.001017232
73254.968996994 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73255.000150118 [MEMLOG_E_WCET_START]	diff = 0.031153124
73255.001054748 [MEMLOG_E_S1_DONE]	diff = 0.000904630
73255.001055321 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73255.035994669 [MEMLOG_E_WCET_START]	diff = 0.034939348
73255.036928465 [MEMLOG_E_S1_DONE]	diff = 0.000933796
73255.036928778 [MEMLOG_E_S1_RUN]	diff = 0.000000313
73255.067967892 [MEMLOG_E_WCET_START]	diff = 0.031039114
73255.068876636 [MEMLOG_E_S1_DONE]	diff = 0.000908744
73255.068877000 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73255.100162155 [MEMLOG_E_WCET_START]	diff = 0.031285155
73255.101085430 [MEMLOG_E_S1_DONE]	diff = 0.000923275
73255.101086107 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73255.135999362 [MEMLOG_E_WCET_START]	diff = 0.034913255
73255.136945606 [MEMLOG_E_S1_DONE]	diff = 0.000946244
73255.136945970 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73255.167944356 [MEMLOG_E_WCET_START]	diff = 0.030998386
73255.168847839 [MEMLOG_E_S1_DONE]	diff = 0.000903483
73255.168848204 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73255.200074661 [MEMLOG_E_WCET_START]	diff = 0.031226457
73255.200985280 [MEMLOG_E_S1_DONE]	diff = 0.000910619
73255.200985905 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73255.235972857 [MEMLOG_E_WCET_START]	diff = 0.034986952
73255.236888476 [MEMLOG_E_S1_DONE]	diff = 0.000915619
73255.236888841 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73255.267959309 [MEMLOG_E_WCET_START]	diff = 0.031070468
73255.268852324 [MEMLOG_E_S1_DONE]	diff = 0.000893015
73255.268852897 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73255.300067479 [MEMLOG_E_WCET_START]	diff = 0.031214582
73255.300958462 [MEMLOG_E_S1_DONE]	diff = 0.000890983
73255.300958931 [MEMLOG_E_S1_RUN]	diff = 0.000000469
73255.335957290 [MEMLOG_E_WCET_START]	diff = 0.034998359
73255.336885409 [MEMLOG_E_S1_DONE]	diff = 0.000928119
73255.336886034 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73255.367993637 [MEMLOG_E_WCET_START]	diff = 0.031107603
73255.368917902 [MEMLOG_E_S1_DONE]	diff = 0.000924265
73255.368918423 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73255.400066443 [MEMLOG_E_WCET_START]	diff = 0.031148020
73255.400993363 [MEMLOG_E_S1_DONE]	diff = 0.000926920
73255.400993884 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73255.435975003 [MEMLOG_E_WCET_START]	diff = 0.034981119
73255.436894893 [MEMLOG_E_S1_DONE]	diff = 0.000919890
73255.436895258 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73255.467966559 [MEMLOG_E_WCET_START]	diff = 0.031071301
73255.468881032 [MEMLOG_E_S1_DONE]	diff = 0.000914473
73255.468881397 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73255.499965719 [MEMLOG_E_WCET_START]	diff = 0.031084322
73255.500960192 [MEMLOG_E_S1_DONE]	diff = 0.000994473
73255.500960921 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73255.535960634 [MEMLOG_E_WCET_START]	diff = 0.034999713
73255.536868492 [MEMLOG_E_S1_DONE]	diff = 0.000907858
73255.536868857 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73255.567968596 [MEMLOG_E_WCET_START]	diff = 0.031099739
73255.568873538 [MEMLOG_E_S1_DONE]	diff = 0.000904942
73255.568873902 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73255.599989527 [MEMLOG_E_WCET_START]	diff = 0.031115625
73255.600954520 [MEMLOG_E_S1_DONE]	diff = 0.000964993
73255.600955354 [MEMLOG_E_S1_RUN]	diff = 0.000000834
73255.635945014 [MEMLOG_E_WCET_START]	diff = 0.034989660
73255.636862040 [MEMLOG_E_S1_DONE]	diff = 0.000917026
73255.636862404 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73255.667944591 [MEMLOG_E_WCET_START]	diff = 0.031082187
73255.668846981 [MEMLOG_E_S1_DONE]	diff = 0.000902390
73255.668847450 [MEMLOG_E_S1_RUN]	diff = 0.000000469
73255.699957918 [MEMLOG_E_WCET_START]	diff = 0.031110468
73255.700897703 [MEMLOG_E_S1_DONE]	diff = 0.000939785
73255.700898641 [MEMLOG_E_S1_RUN]	diff = 0.000000938
73255.736034759 [MEMLOG_E_WCET_START]	diff = 0.035136118
73255.736973346 [MEMLOG_E_S1_DONE]	diff = 0.000938587
73255.736973971 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73255.767972565 [MEMLOG_E_WCET_START]	diff = 0.030998594
73255.768885424 [MEMLOG_E_S1_DONE]	diff = 0.000912859
73255.768885892 [MEMLOG_E_S1_RUN]	diff = 0.000000468
73255.799961725 [MEMLOG_E_WCET_START]	diff = 0.031075833
73255.800962500 [MEMLOG_E_S1_DONE]	diff = 0.001000775
73255.800963333 [MEMLOG_E_S1_RUN]	diff = 0.000000833
73255.836030858 [MEMLOG_E_WCET_START]	diff = 0.035067525
73255.836929081 [MEMLOG_E_S1_DONE]	diff = 0.000898223
73255.836929498 [MEMLOG_E_S1_RUN]	diff = 0.000000417
73255.867972727 [MEMLOG_E_WCET_START]	diff = 0.031043229
73255.868875064 [MEMLOG_E_S1_DONE]	diff = 0.000902337
73255.868875429 [MEMLOG_E_S1_RUN]	diff = 0.000000365
73255.899975949 [MEMLOG_E_WCET_START]	diff = 0.031100520
73255.900977349 [MEMLOG_E_S1_DONE]	diff = 0.001001400
73255.900978078 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73255.936044249 [MEMLOG_E_WCET_START]	diff = 0.035066171
73255.936976899 [MEMLOG_E_S1_DONE]	diff = 0.000932650
73255.936977263 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73255.967975076 [MEMLOG_E_WCET_START]	diff = 0.030997813
73255.968885122 [MEMLOG_E_S1_DONE]	diff = 0.000910046
73255.968885486 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73255.999935278 [MEMLOG_E_WCET_START]	diff = 0.031049792
73256.000902042 [MEMLOG_E_S1_DONE]	diff = 0.000966764
73256.000902771 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73256.035971338 [MEMLOG_E_WCET_START]	diff = 0.035068567
73256.036926384 [MEMLOG_E_S1_DONE]	diff = 0.000955046
73256.036927113 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73256.067945342 [MEMLOG_E_WCET_START]	diff = 0.031018229
73256.068840909 [MEMLOG_E_S1_DONE]	diff = 0.000895567
73256.068841430 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73256.099956273 [MEMLOG_E_WCET_START]	diff = 0.031114843
73256.101024807 [MEMLOG_E_S1_DONE]	diff = 0.001068534
73256.101025745 [MEMLOG_E_S1_RUN]	diff = 0.000000938
73256.135970666 [MEMLOG_E_WCET_START]	diff = 0.034944921
73256.136963941 [MEMLOG_E_S1_DONE]	diff = 0.000993275
73256.136964878 [MEMLOG_E_S1_RUN]	diff = 0.000000937
73256.167973368 [MEMLOG_E_WCET_START]	diff = 0.031008490
73256.168902164 [MEMLOG_E_S1_DONE]	diff = 0.000928796
73256.168902893 [MEMLOG_E_S1_RUN]	diff = 0.000000729
73256.199939976 [MEMLOG_E_WCET_START]	diff = 0.031037083
73256.200928563 [MEMLOG_E_S1_DONE]	diff = 0.000988587
73256.200929136 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73256.235986401 [MEMLOG_E_WCET_START]	diff = 0.035057265
73256.236909728 [MEMLOG_E_S1_DONE]	diff = 0.000923327
73256.236910092 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73256.267941967 [MEMLOG_E_WCET_START]	diff = 0.031031875
73256.268836857 [MEMLOG_E_S1_DONE]	diff = 0.000894890
73256.268837378 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73256.299908159 [MEMLOG_E_WCET_START]	diff = 0.031070781
73256.300858986 [MEMLOG_E_S1_DONE]	diff = 0.000950827
73256.300859663 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73256.335951875 [MEMLOG_E_WCET_START]	diff = 0.035092212
73256.336837911 [MEMLOG_E_S1_DONE]	diff = 0.000886036
73256.336838588 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73256.368018691 [MEMLOG_E_WCET_START]	diff = 0.031180103
73256.368913893 [MEMLOG_E_S1_DONE]	diff = 0.000895202
73256.368914518 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73256.399937956 [MEMLOG_E_WCET_START]	diff = 0.031023438
73256.400915449 [MEMLOG_E_S1_DONE]	diff = 0.000977493
73256.400916022 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73256.435999432 [MEMLOG_E_WCET_START]	diff = 0.035083410
73256.436927238 [MEMLOG_E_S1_DONE]	diff = 0.000927806
73256.436927759 [MEMLOG_E_S1_RUN]	diff = 0.000000521
73256.468001196 [MEMLOG_E_WCET_START]	diff = 0.031073437
73256.468898274 [MEMLOG_E_S1_DONE]	diff = 0.000897078
73256.468898638 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73256.499915409 [MEMLOG_E_WCET_START]	diff = 0.031016771
73256.500874153 [MEMLOG_E_S1_DONE]	diff = 0.000958744
73256.500874830 [MEMLOG_E_S1_RUN]	diff = 0.000000677
73256.535969386 [MEMLOG_E_WCET_START]	diff = 0.035094556
73256.536914327 [MEMLOG_E_S1_DONE]	diff = 0.000944941
73256.536914900 [MEMLOG_E_S1_RUN]	diff = 0.000000573
73256.568043962 [MEMLOG_E_WCET_START]	diff = 0.031129062
73256.568978904 [MEMLOG_E_S1_DONE]	diff = 0.000934942
73256.568979529 [MEMLOG_E_S1_RUN]	diff = 0.000000625
73256.599915727 [MEMLOG_E_WCET_START]	diff = 0.030936198
73256.600907075 [MEMLOG_E_S1_DONE]	diff = 0.000991348
73256.600907908 [MEMLOG_E_S1_RUN]	diff = 0.000000833
73256.635955745 [MEMLOG_E_WCET_START]	diff = 0.035047837
73256.636847666 [MEMLOG_E_S1_DONE]	diff = 0.000891921
73256.636848344 [MEMLOG_E_S1_RUN]	diff = 0.000000678
73256.667969905 [MEMLOG_E_WCET_START]	diff = 0.031121561
73256.668884066 [MEMLOG_E_S1_DONE]	diff = 0.000914161
73256.668884430 [MEMLOG_E_S1_RUN]	diff = 0.000000364
73256.699930107 [MEMLOG_E_WCET_START]	diff = 0.031045677
73256.700871351 [MEMLOG_E_S1_DONE]	diff = 0.000941244
73256.700872236 [MEMLOG_E_S1_RUN]	diff = 0.000000885
