85009.187168868 MEMLOG_E_S1_RUN               diff = 0.000000000
85009.211073543 MEMLOG_E_WCET_START           diff = 0.023904675
85009.219305465 MEMLOG_E_ADATA                diff = 0.008231922 data:0
85009.219326142 MEMLOG_E_S1_DONE              diff = 0.000020677
85009.219326246 MEMLOG_E_S1_RUN               diff = 0.000000104
85009.243219515 MEMLOG_E_WCET_START           diff = 0.023893269
85009.251518207 MEMLOG_E_ADATA                diff = 0.008298692 data:0
85009.251541019 MEMLOG_E_S1_DONE              diff = 0.000022812
85009.251541175 MEMLOG_E_S1_RUN               diff = 0.000000156
85009.278876556 MEMLOG_E_WCET_START           diff = 0.027335381
85009.287156081 MEMLOG_E_ADATA                diff = 0.008279525 data:0
85009.287181446 MEMLOG_E_S1_DONE              diff = 0.000025365
85009.287181758 MEMLOG_E_S1_RUN               diff = 0.000000312
85009.311081799 MEMLOG_E_WCET_START           diff = 0.023900041
85009.319325230 MEMLOG_E_ADATA                diff = 0.008243431 data:0
85009.319346063 MEMLOG_E_S1_DONE              diff = 0.000020833
85009.319346376 MEMLOG_E_S1_RUN               diff = 0.000000313
85009.343218916 MEMLOG_E_WCET_START           diff = 0.023872540
85009.352397966 MEMLOG_E_ADATA                diff = 0.009179050 data:0
85009.352428122 MEMLOG_E_S1_DONE              diff = 0.000030156
85009.352428695 MEMLOG_E_S1_RUN               diff = 0.000000573
85009.378946478 MEMLOG_E_WCET_START           diff = 0.026517783
85009.398106916 MEMLOG_E_ADATA                diff = 0.019160438 data:0
85009.398140613 MEMLOG_E_S1_DONE              diff = 0.000033697
85009.398141134 MEMLOG_E_S1_RUN               diff = 0.000000521
85009.411166355 MEMLOG_E_WCET_START           diff = 0.013025221
85009.430328564 MEMLOG_E_ADATA                diff = 0.019162209 data:0
85009.430359137 MEMLOG_E_S1_DONE              diff = 0.000030573
85009.430359658 MEMLOG_E_S1_RUN               diff = 0.000000521
85009.443376285 MEMLOG_E_WCET_START           diff = 0.013016627
85009.462240007 MEMLOG_E_ADATA                diff = 0.018863722 data:0
85009.462292194 MEMLOG_E_S1_DONE              diff = 0.000052187
85009.462292610 MEMLOG_E_S1_RUN               diff = 0.000000416
85009.478853327 MEMLOG_E_WCET_START           diff = 0.016560717
85009.487150925 MEMLOG_E_ADATA                diff = 0.008297598 data:112
85009.487175560 MEMLOG_E_S1_DONE              diff = 0.000024635
85009.487175873 MEMLOG_E_S1_RUN               diff = 0.000000313
85009.511076174 MEMLOG_E_WCET_START           diff = 0.023900301
85009.519307366 MEMLOG_E_ADATA                diff = 0.008231192 data:310
85009.519330386 MEMLOG_E_S1_DONE              diff = 0.000023020
85009.519330543 MEMLOG_E_S1_RUN               diff = 0.000000157
85009.543201469 MEMLOG_E_WCET_START           diff = 0.023870926
85009.551505108 MEMLOG_E_ADATA                diff = 0.008303639 data:0
85009.551527816 MEMLOG_E_S1_DONE              diff = 0.000022708
85009.551528025 MEMLOG_E_S1_RUN               diff = 0.000000209
85009.578880593 MEMLOG_E_WCET_START           diff = 0.027352568
85009.587151993 MEMLOG_E_ADATA                diff = 0.008271400 data:0
85009.587177461 MEMLOG_E_S1_DONE              diff = 0.000025468
85009.587177670 MEMLOG_E_S1_RUN               diff = 0.000000209
85009.611041981 MEMLOG_E_WCET_START           diff = 0.023864311
85009.619299996 MEMLOG_E_ADATA                diff = 0.008258015 data:0
85009.619323798 MEMLOG_E_S1_DONE              diff = 0.000023802
85009.619324110 MEMLOG_E_S1_RUN               diff = 0.000000312
