timediff.py ~/ecen5623/stats/image_scanning_wcet.log  MEMLOG_E_S1_DONE MEMLOG_E_WCET_START | grep MEMLOG_E_S1_DONE | sort -n -k 3

85008.819342964 MEMLOG_E_S1_DONE          -8523.497
85008.919310439 MEMLOG_E_S1_DONE              8.225
85010.719227263 MEMLOG_E_S1_DONE              8.237
85015.818974435 MEMLOG_E_S1_DONE              8.238
85015.119009980 MEMLOG_E_S1_DONE              8.239
85012.419163697 MEMLOG_E_S1_DONE              8.241
85010.119274918 MEMLOG_E_S1_DONE              8.243
85014.019076305 MEMLOG_E_S1_DONE              8.243
85014.119054873 MEMLOG_E_S1_DONE              8.243
85014.719020604 MEMLOG_E_S1_DONE              8.245
85015.318986179 MEMLOG_E_S1_DONE              8.245
85013.619060627 MEMLOG_E_S1_DONE              8.248
85015.218965527 MEMLOG_E_S1_DONE              8.248
85009.119325595 MEMLOG_E_S1_DONE              8.249
85011.519178305 MEMLOG_E_S1_DONE              8.250
85013.219134532 MEMLOG_E_S1_DONE              8.250
85012.519142057 MEMLOG_E_S1_DONE              8.251
85013.919058310 MEMLOG_E_S1_DONE              8.251
85014.419022087 MEMLOG_E_S1_DONE              8.251
85010.019301090 MEMLOG_E_S1_DONE              8.252
85013.319091902 MEMLOG_E_S1_DONE              8.252
85009.219326142 MEMLOG_E_S1_DONE              8.253
85013.119105339 MEMLOG_E_S1_DONE              8.253
85013.419098856 MEMLOG_E_S1_DONE              8.253
85016.018938915 MEMLOG_E_S1_DONE              8.253
85009.519330386 MEMLOG_E_S1_DONE              8.254
85011.419226768 MEMLOG_E_S1_DONE              8.254
85012.619144323 MEMLOG_E_S1_DONE              8.255
85013.819079065 MEMLOG_E_S1_DONE              8.255
85009.719310595 MEMLOG_E_S1_DONE              8.256
85010.919237627 MEMLOG_E_S1_DONE              8.256
85015.019023131 MEMLOG_E_S1_DONE              8.256
85009.019339787 MEMLOG_E_S1_DONE              8.257
85010.519258148 MEMLOG_E_S1_DONE              8.257
