72184.764323318 MEMLOG_E_S1_DONE              diff = 0.000000000
72184.774321356 MEMLOG_E_WCET_START           diff = 0.009998038
72184.774322346 MEMLOG_E_S1_DONE              diff = 0.000000990
72184.784321113 MEMLOG_E_WCET_START           diff = 0.009998767
72184.784322103 MEMLOG_E_S1_DONE              diff = 0.000000990
72184.794321234 MEMLOG_E_WCET_START           diff = 0.009999131
72184.794322172 MEMLOG_E_S1_DONE              diff = 0.000000938
72184.804320991 MEMLOG_E_WCET_START           diff = 0.009998819
72184.804321981 MEMLOG_E_S1_DONE              diff = 0.000000990
72184.814321061 MEMLOG_E_WCET_START           diff = 0.009999080
72184.814322050 MEMLOG_E_S1_DONE              diff = 0.000000989
72184.824321442 MEMLOG_E_WCET_START           diff = 0.009999392
72184.824322380 MEMLOG_E_S1_DONE              diff = 0.000000938
72184.834321564 MEMLOG_E_WCET_START           diff = 0.009999184
72184.834322501 MEMLOG_E_S1_DONE              diff = 0.000000937
72184.844321164 MEMLOG_E_WCET_START           diff = 0.009998663
72184.844322154 MEMLOG_E_S1_DONE              diff = 0.000000990
72184.854322744 MEMLOG_E_WCET_START           diff = 0.010000590
72184.854323786 MEMLOG_E_S1_DONE              diff = 0.000001042
72184.864320939 MEMLOG_E_WCET_START           diff = 0.009997153
72184.864321876 MEMLOG_E_S1_DONE              diff = 0.000000937
72184.874321008 MEMLOG_E_WCET_START           diff = 0.009999132
72184.874321998 MEMLOG_E_S1_DONE              diff = 0.000000990
72184.884320817 MEMLOG_E_WCET_START           diff = 0.009998819
72184.884321806 MEMLOG_E_S1_DONE              diff = 0.000000989
72184.894320886 MEMLOG_E_WCET_START           diff = 0.009999080
72184.894321876 MEMLOG_E_S1_DONE              diff = 0.000000990
72184.904320956 MEMLOG_E_WCET_START           diff = 0.009999080
72184.904321945 MEMLOG_E_S1_DONE              diff = 0.000000989
72184.914321702 MEMLOG_E_WCET_START           diff = 0.009999757
72184.914322692 MEMLOG_E_S1_DONE              diff = 0.000000990
72184.924321042 MEMLOG_E_WCET_START           diff = 0.009998350
72184.924321980 MEMLOG_E_S1_DONE              diff = 0.000000938
72184.934320955 MEMLOG_E_WCET_START           diff = 0.009998975
72184.934321893 MEMLOG_E_S1_DONE              diff = 0.000000938
72184.944321129 MEMLOG_E_WCET_START           diff = 0.009999236
72184.944322118 MEMLOG_E_S1_DONE              diff = 0.000000989
72184.954323073 MEMLOG_E_WCET_START           diff = 0.010000955
72184.954324115 MEMLOG_E_S1_DONE              diff = 0.000001042
72184.964321476 MEMLOG_E_WCET_START           diff = 0.009997361
72184.964322465 MEMLOG_E_S1_DONE              diff = 0.000000989
72184.974321129 MEMLOG_E_WCET_START           diff = 0.009998664
72184.974322170 MEMLOG_E_S1_DONE              diff = 0.000001041
72184.984321250 MEMLOG_E_WCET_START           diff = 0.009999080
72184.984322188 MEMLOG_E_S1_DONE              diff = 0.000000938
72184.994320538 MEMLOG_E_WCET_START           diff = 0.009998350
72184.994321528 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.004321857 MEMLOG_E_WCET_START           diff = 0.010000329
72185.004323003 MEMLOG_E_S1_DONE              diff = 0.000001146
72185.014322291 MEMLOG_E_WCET_START           diff = 0.009999288
72185.014323333 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.024321267 MEMLOG_E_WCET_START           diff = 0.009997934
72185.024322257 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.034321493 MEMLOG_E_WCET_START           diff = 0.009999236
72185.034322534 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.044321562 MEMLOG_E_WCET_START           diff = 0.009999028
72185.044322604 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.054322829 MEMLOG_E_WCET_START           diff = 0.010000225
72185.054323819 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.064321909 MEMLOG_E_WCET_START           diff = 0.009998090
72185.064322899 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.074321458 MEMLOG_E_WCET_START           diff = 0.009998559
72185.074322447 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.084321996 MEMLOG_E_WCET_START           diff = 0.009999549
72185.084322985 MEMLOG_E_S1_DONE              diff = 0.000000989
72185.094321023 MEMLOG_E_WCET_START           diff = 0.009998038
72185.094322013 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.104320780 MEMLOG_E_WCET_START           diff = 0.009998767
72185.104321770 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.114321162 MEMLOG_E_WCET_START           diff = 0.009999392
72185.114322204 MEMLOG_E_S1_DONE              diff = 0.000001042
72185.124321023 MEMLOG_E_WCET_START           diff = 0.009998819
72185.124322013 MEMLOG_E_S1_DONE              diff = 0.000000990
72185.134321145 MEMLOG_E_WCET_START           diff = 0.009999132
72185.134322186 MEMLOG_E_S1_DONE              diff = 0.000001041
72185.144320901 MEMLOG_E_WCET_START           diff = 0.009998715
72185.144321943 MEMLOG_E_S1_DONE              diff = 0.000001042
